PDS4 LID	PDS <Target_Identification> name	Other/provisional names	PDS <type> attribute	COMA objecttype
coma.17p	17P/1892 V1 (Holmes 1)	1993 VII, 1993i, 1986 V, 1986f, 1979 IV, 1979f, 1972 I, 1971b, 17P/1964 O1, 1964 X, 1964i, 1906 III, 1906f, 17P/1899 L1, 1899 II, 1899d, 1892 III, 1892f	Comet	
coma.18d	18D/1896 X1 (Perrine-Mrkos 1)	1968 VIII, 1968h, 1962 I, 1961h, 18D/1955 U1, 1955 VII, 1955i, 18D/1909 P1, 1909 III, 1909b, 1896 VII, 1896g	Comet	
coma.19p	19P/1904 Y2 (Borrelly 1)	1994 XXX, 1994l, 1987 XXXIII, 1987p, 1981 IV, 1980i, 1974 VII, 1973m, 1967 VIII, 1967m, 1960 V, 1960k, 1953 IV, 1954b, 1932 IV, 1932i, 1925 VIII, 1925f, 1918 IV, 1918c, 19P/1911 S1, 1911 VIII, 1911e, 1905 II, 1904e	Comet	
coma.20d	20D/1852 O1 (Westphal 1)	20D/1913 S1, 1913 VI, 1913d, 1852 IV, 20P/Westphal	Comet	
coma.21p	21P/1900 Y1 (Giacobini-Zinner 1)	1992 IX, 1991m, 1985 XIII, 1984e, 1979 III, 1978h, 1972 VI, 1972d, 1966 I, 1965g, 1959 VIII, 1959b, 1946 V, 1946c, 1940 I, 1939l, 1933 III, 1933c, 1926 VI, 1926e, 21P/1913 U1, 1913 V, 1913e, 1900 III, 1900c	Comet	
coma.22p	22P/1906 Q1 (Kopff 1)	1994s, 1990 I, 1988k ,1983 XIII, 1982k, 1977 V, 1976b, 1970 XI, 1970c, 1964 III, 1963i, 1958 I, 1958d, 1951 VII, 1951e, 1945 V, 1945b, 1939 II, 1939e, 1932 III, 1932e, 1926 II, 1926c, 22P/1919 O1, 1919 I, 1919a, 1906 IV, 1906e	Comet	
coma.23p	23P/1847 O1 (Brorsen-Metcalf 1)	23P/1989 N1, 1989 X, 1989o, 23P/1919 Q1, 1919 III, 1919b, 1847 V	Comet	
coma.24p	24P/1911 X1 (Schaumasse 1)	1993 III, 1992x, 1984 XXII, 1984m, 1976 XV, 1960 III, 1959h, 1952 III, 1951l, 1943 V, 1944a, 1927 VIII, 1927g, 24P/1919 U1, 1919 IV, 1919e, 1911 VII, 1911h	Comet	
coma.25d	25D/1916 D1 (Neujmin 2)	25D/1926 V2, 1927 I, 1926g, 1916 II, 1916a	Comet	
coma.26p	26P/1922 K1 (Grigg-Skjellerup 1)	1992 XVIII, 1987 X, 1986m, 1982 IV, 1982a, 1977 VI, 1977b, 1972 II, 1972b, 1967 I, 1966f, 1961 IX, 1961g, 1957 I, 1956i, 1952 IV, 1952b, 1942 V, 1947a, 1937 III, 1937e, 1932 II, 1932d, 26P/1927 F1, 1927 V, 1927e, 1922 I, 1922b, 26P/1902 O1, 1902 II, 1902c, 26P/1808 C1, 1808 III	Comet	
coma.27p	27P/1928 W1 (Crommelin 1)	1984 IV, 1983n, 27P/1956 S1, 1956 VI, 1956g, 1928 III, 1928b, 27P/1873 V1, 1873 VII, 1873g, 27P/1818 D1, 1818 I	Comet	
coma.28p	28P/1913 R2 (Neujmin 1)	1984 XIX, 1984c, 1966 VI, 1966a, 1948 XIII, 1948f, 28P/1931 S1, 1931 I, 1931d, 1913 III, 1913c	Comet	
coma.29p	29P/1927 V1 (Schwassmann-Wachmann 1)	1989 XV, 1974 II, 1957 IV, 1941 VI, 1925 II, 1927i, 29P/1902 E1, 1908 IV	Comet	
